scr|ecg|rate|resp
0.738564|0.199426|0.462793|0.407658
0.977375|0.814821|0.593312|0.357264
0.824591|0.895138|0.014016|0.792059
0.393370|0.115499|0.819576|0.527788
0.954934|0.043484|0.497467|0.019434
0.225589|0.401304|0.246565|0.907705
0.562113|0.995850|0.254095|0.043379
0.676455|0.042834|0.078173|0.598132
0.893047|0.761977|0.478626|0.914013
0.549415|0.907441|0.775192|0.972124
0.661043|0.010737|0.129744|0.273023
0.012328|0.969744|0.538999|0.157626
0.655270|0.167642|0.326228|0.836780
0.008496|0.101211|0.435915|0.929281
0.997422|0.019894|0.969147|0.790640
0.026136|0.968109|0.476372|0.016450
0.342685|0.727999|0.455086|0.367170
0.623872|0.533565|0.054486|0.329828
0.315866|0.108138|0.165329|0.752332
0.142109|0.737986|0.689953|0.631306
0.295734|0.661744|0.653649|0.508036
0.210379|0.673991|0.877740|0.049723
0.021538|0.471888|0.462706|0.590481
0.598324|0.192380|0.326806|0.782147
0.132608|0.830856|0.767496|0.959196
0.036026|0.408054|0.195249|0.722861
0.227824|0.176356|0.070233|0.734624
0.555078|0.825716|0.983257|0.715824
0.204363|0.937644|0.362286|0.304070
0.478381|0.879857|0.778853|0.590121
0.603513|0.188447|0.979966|0.246902
0.572885|0.538612|0.947439|0.045343
0.537787|0.024039|0.451853|0.529620
0.764552|0.270627|0.286272|0.490016
0.546543|0.702429|0.754454|0.717194
0.648553|0.608641|0.074971|0.803999
0.392180|0.971290|0.492209|0.417858
0.070581|0.089636|0.610761|0.314949
0.210335|0.040022|0.388761|0.800100
0.756937|0.966543|0.318032|0.551676
0.439555|0.140159|0.352362|0.959836
0.481060|0.746455|0.502042|0.335504
0.212095|0.533052|0.358937|0.562118
0.437374|0.384988|0.032251|0.319695
0.589611|0.562981|0.600729|0.235345
0.991060|0.421557|0.191012|0.018025
0.276180|0.137700|0.441923|0.706428
0.610238|0.789112|0.418974|0.430341
0.649609|0.659766|0.432585|0.616223
0.620936|0.917601|0.015773|0.892655
0.631966|0.931434|0.889033|0.930024
0.638319|0.284385|0.450180|0.620722
0.518303|0.692275|0.433749|0.932015
0.025844|0.110042|0.598252|0.746012
0.105295|0.312393|0.702404|0.439543
0.788548|0.591541|0.169368|0.351286
0.232580|0.422136|0.158856|0.439872
0.239020|0.201323|0.961553|0.031986
0.732981|0.137984|0.780091|0.943296
0.945418|0.783639|0.063900|0.213470
0.385857|0.347454|0.230449|0.179641
0.786001|0.297534|0.849350|0.637518
0.269569|0.168176|0.562306|0.531847
0.242459|0.791525|0.873586|0.332842
0.258897|0.528749|0.931065|0.693866
0.066345|0.733087|0.073980|0.128093
0.878627|0.504657|0.602495|0.924732
0.948640|0.192072|0.064637|0.905616
0.451272|0.775914|0.260541|0.994020
0.158003|0.673889|0.213945|0.379880
0.733156|0.522977|0.962843|0.449038
0.895424|0.607798|0.866989|0.265529
0.443314|0.587451|0.980466|0.582628
0.968734|0.747658|0.615020|0.740434
0.522507|0.859572|0.099621|0.870803
0.268592|0.479609|0.913937|0.999986
0.441233|0.074045|0.312022|0.835714
0.982219|0.600684|0.923046|0.456754
0.618015|0.557267|0.112529|0.711769
0.660702|0.875104|0.764659|0.726238
0.748613|0.704766|0.242153|0.851577
0.641710|0.518279|0.325896|0.270030
0.277460|0.433524|0.144702|0.185965
0.110913|0.123289|0.966257|0.657526
0.641021|0.159829|0.403782|0.397815
0.806156|0.343389|0.734716|0.828711
0.690994|0.071433|0.247114|0.317281
0.192523|0.819368|0.837885|0.909498
0.952920|0.875861|0.448165|0.607203
0.824956|0.059356|0.705128|0.660606
0.661514|0.033954|0.226050|0.856069
0.783955|0.112389|0.902378|0.308597
0.826666|0.464468|0.929618|0.456353
0.666577|0.840321|0.551242|0.011939
0.209879|0.543508|0.409118|0.817872
0.162782|0.505111|0.777512|0.319171
0.272602|0.464806|0.545837|0.227268
0.384605|0.256866|0.300880|0.158372
0.048504|0.699690|0.844313|0.224035
0.475199|0.986523|0.919607|0.619684
0.646656|0.414593|0.470009|0.532789
0.389884|0.896320|0.708174|0.158419
0.831485|0.876616|0.273811|0.976620
0.214576|0.989051|0.171803|0.923334
0.435208|0.927404|0.295134|0.117859
0.552988|0.664351|0.455005|0.761234
0.166208|0.674897|0.626112|0.084466
0.784663|0.394211|0.198125|0.936538
0.317024|0.454200|0.876570|0.351083
0.922611|0.327889|0.409353|0.001211
0.615041|0.968962|0.785502|0.789158
0.942949|0.093879|0.616114|0.942008
0.841267|0.870320|0.905309|0.142553
0.662203|0.952421|0.009499|0.434298
0.064622|0.511891|0.304950|0.104831
0.748392|0.418591|0.349548|0.897800
0.367443|0.675860|0.816922|0.875934
0.248338|0.193751|0.181316|0.671167
0.418620|0.312656|0.805175|0.646796
0.234807|0.478738|0.401221|0.648806
0.981010|0.100114|0.181119|0.922454
0.348200|0.913534|0.166859|0.631264
0.245841|0.255033|0.911503|0.482067
0.767011|0.244111|0.907772|0.355683
0.851379|0.974141|0.876915|0.280072
0.788313|0.845312|0.123944|0.470582
0.218760|0.515109|0.804445|0.943894
0.284307|0.260059|0.780155|0.703434
0.373798|0.097874|0.138762|0.087571
0.210577|0.978335|0.531393|0.838722
0.232264|0.654581|0.229702|0.786169
0.716967|0.515114|0.969493|0.665182
0.425397|0.940986|0.913032|0.707538
0.785470|0.538679|0.556168|0.878994
0.051791|0.356238|0.459262|0.684899
0.342792|0.376258|0.148853|0.595734
0.221527|0.689212|0.435742|0.653309
0.858651|0.043811|0.460907|0.294810
0.459085|0.645421|0.892921|0.096146
0.021162|0.455783|0.835420|0.596036
0.250893|0.561223|0.918021|0.321462
0.950765|0.199405|0.019675|0.115178
0.935429|0.053935|0.077735|0.499505
0.081877|0.426272|0.833359|0.203223
0.990046|0.539563|0.038445|0.781812
0.502027|0.122696|0.691486|0.089763
0.955675|0.979557|0.079783|0.817115
0.637673|0.565359|0.787461|0.356663
0.222315|0.595514|0.998189|0.306671
0.720023|0.657063|0.961799|0.523424
0.282877|0.645144|0.250706|0.873983
0.806934|0.167021|0.871525|0.549673
0.236262|0.029953|0.128288|0.405460
0.566256|0.713398|0.514039|0.314680
0.557021|0.509266|0.181786|0.265188
0.020269|0.807186|0.434167|0.368926
0.774448|0.307466|0.161577|0.333150
0.921097|0.555139|0.091621|0.777980
0.308202|0.919075|0.493133|0.448853
0.741078|0.376671|0.341320|0.931387
0.971288|0.187582|0.978417|0.585996
0.066749|0.375468|0.152111|0.561699
0.448703|0.241454|0.870898|0.802922
0.244865|0.156915|0.090341|0.906689
0.021472|0.344423|0.769016|0.023451
0.319763|0.507811|0.773022|0.711004
0.346695|0.115609|0.119969|0.977353
0.012263|0.800014|0.648550|0.372429
0.296980|0.011809|0.615977|0.290832
0.508561|0.562795|0.970189|0.012368
0.792416|0.309511|0.581612|0.624570
0.236622|0.901186|0.972294|0.395719
0.232297|0.785681|0.721358|0.173511
0.536922|0.651036|0.815628|0.030907
0.866223|0.162046|0.981274|0.356892
0.064825|0.852428|0.265018|0.089454
0.042424|0.961825|0.615825|0.676770
0.927954|0.726169|0.915469|0.646948
0.501368|0.730747|0.152690|0.525788
0.607411|0.237813|0.622966|0.254020
0.164452|0.893371|0.916743|0.932133
0.288234|0.026926|0.966830|0.018185
0.483584|0.324598|0.915977|0.416546
0.635640|0.883351|0.350698|0.881279
0.098153|0.889043|0.662055|0.514763
0.469025|0.898654|0.751232|0.442460
0.094075|0.741640|0.365587|0.184944
0.392824|0.491881|0.231240|0.220581
0.343903|0.213857|0.176098|0.286962
0.374630|0.504270|0.143478|0.641125
0.216034|0.404541|0.732088|0.244411
0.342150|0.722922|0.913062|0.069755
0.826903|0.807168|0.290235|0.706968
0.803872|0.521750|0.691408|0.864913
0.615882|0.012896|0.066827|0.475530
0.196171|0.597079|0.154638|0.937909
0.423397|0.815008|0.891638|0.656543
0.029802|0.810945|0.164472|0.659400
0.682274|0.541287|0.840008|0.683898
0.335541|0.878516|0.560104|0.058834
0.565510|0.166314|0.531885|0.890503
0.751654|0.874506|0.125854|0.948167
0.893907|0.412201|0.455930|0.007008
0.823716|0.719820|0.455727|0.715947
0.698900|0.152512|0.079242|0.287600
0.640425|0.819770|0.942621|0.019845
0.769850|0.236274|0.916459|0.179817
0.019569|0.129084|0.142263|0.837242
0.767500|0.444205|0.351257|0.231103
0.272090|0.566746|0.816121|0.787756
0.007525|0.870806|0.096366|0.984885
0.717323|0.438901|0.993741|0.191677
0.417354|0.003633|0.796943|0.166966
0.350355|0.228774|0.221109|0.581791
0.387989|0.931524|0.965619|0.937843
0.601314|0.658029|0.834714|0.550604
0.799246|0.888046|0.370233|0.125331
0.912846|0.445910|0.771811|0.463257
0.481062|0.193927|0.756018|0.034894
0.830028|0.543685|0.188143|0.508615
0.907566|0.460655|0.041334|0.758419
0.708098|0.965633|0.011467|0.773230
0.204740|0.398418|0.652737|0.485734
0.800960|0.312584|0.106471|0.349884
0.926338|0.468825|0.050705|0.432380
0.403956|0.072796|0.246957|0.205757
0.204280|0.824907|0.306357|0.090705
0.650253|0.331761|0.699973|0.293645
0.117701|0.731378|0.585916|0.599694
0.866525|0.926326|0.249065|0.399657
0.141941|0.643570|0.123463|0.878060
0.265251|0.870604|0.078463|0.879976
0.771760|0.821480|0.238694|0.846046
0.439511|0.834300|0.511960|0.196800
0.991777|0.537226|0.180938|0.244439
0.524306|0.523403|0.459524|0.656630
0.836335|0.168599|0.686659|0.013433
0.846298|0.616308|0.555550|0.161036
0.030870|0.811779|0.900740|0.328321
0.810047|0.912269|0.247337|0.524838
0.086813|0.885745|0.502480|0.575275
0.375004|0.824017|0.374025|0.029378
0.845289|0.155007|0.471916|0.071650
0.928478|0.841519|0.283908|0.208477
0.421105|0.787358|0.148551|0.562991
0.090235|0.858018|0.173242|0.562212
0.054482|0.666331|0.871819|0.953002
0.084375|0.867511|0.625940|0.458950
0.724835|0.328468|0.181792|0.176917
0.047969|0.477990|0.788782|0.317430
0.130325|0.541677|0.219098|0.295159
0.654276|0.941808|0.154752|0.470241
0.107848|0.811114|0.558041|0.332519
0.403274|0.947201|0.221007|0.956144
0.474221|0.867510|0.132187|0.087332
0.802636|0.084864|0.603792|0.779773
0.484997|0.754351|0.473166|0.954912
0.503942|0.482125|0.830854|0.749578
0.549146|0.937790|0.395121|0.616673
0.003604|0.007309|0.847379|0.460860
0.797167|0.405934|0.451015|0.774261
0.151410|0.366538|0.053960|0.176556
0.829750|0.508211|0.537583|0.345965
0.271208|0.200131|0.392471|0.858937
0.505721|0.839233|0.180933|0.216788
0.948887|0.854208|0.631352|0.357883
0.465180|0.620426|0.648345|0.690512
0.996110|0.579080|0.222352|0.616037
0.846645|0.166652|0.752910|0.602599
0.932057|0.064950|0.998014|0.752991
0.570812|0.975477|0.549389|0.068674
0.138314|0.550987|0.965916|0.855208
0.046668|0.523718|0.631273|0.453419
0.086889|0.404860|0.534787|0.519874
0.159793|0.659371|0.023740|0.095729
0.972635|0.377525|0.671176|0.182082
0.971252|0.978097|0.465681|0.725493
0.274200|0.324105|0.442026|0.890885
0.862348|0.111009|0.223752|0.409837
0.660213|0.164239|0.741947|0.559552
0.130296|0.757519|0.981755|0.901164
0.805623|0.248509|0.441796|0.690008
0.477628|0.078835|0.940500|0.336965
0.294263|0.277023|0.918740|0.102853
0.510798|0.044260|0.190502|0.578435
0.960487|0.513888|0.693064|0.201271
0.650595|0.025997|0.335803|0.980301
0.976698|0.413175|0.417037|0.177831
0.192510|0.980848|0.897088|0.992392
0.314189|0.440555|0.749785|0.532702
0.138710|0.726178|0.073977|0.627210
0.269018|0.492308|0.057148|0.926191
0.184316|0.559028|0.172918|0.521321
0.688247|0.776018|0.186251|0.624774
0.402734|0.968374|0.610858|0.709399
0.929146|0.709667|0.297430|0.101916
0.139519|0.440762|0.861474|0.259997
0.966204|0.668927|0.567175|0.749629
0.140714|0.600383|0.300323|0.172398
0.641483|0.338017|0.811872|0.114509
0.325792|0.693670|0.232037|0.250333
0.003082|0.152471|0.217940|0.436319
0.209845|0.363113|0.864707|0.683459
0.575045|0.867939|0.513394|0.938212
0.489793|0.576888|0.712649|0.673560
0.466332|0.309920|0.082751|0.917518
0.008965|0.761302|0.041857|0.695761
0.596842|0.195956|0.507658|0.640590
0.935462|0.811128|0.647380|0.328156
0.145811|0.910221|0.365984|0.580827
0.717842|0.250612|0.020598|0.319282
0.786069|0.921578|0.004404|0.673916
0.565176|0.459893|0.459387|0.020387
0.915113|0.138302|0.260470|0.476078
0.032486|0.078234|0.854629|0.094599
0.134711|0.987195|0.254670|0.373960
0.479162|0.975953|0.350738|0.575587
0.153610|0.691282|0.026711|0.738353
0.110593|0.436570|0.448513|0.641335
0.905193|0.552135|0.658420|0.260909
0.149775|0.334067|0.374817|0.754999
0.637305|0.374808|0.826492|0.491793
0.888154|0.710365|0.284586|0.802945
0.453901|0.563318|0.063281|0.183862
0.733857|0.412593|0.331701|0.974163
0.185949|0.897237|0.674741|0.651375
0.056084|0.588226|0.367523|0.789514
0.058549|0.574848|0.450545|0.171294
0.410721|0.862986|0.251662|0.984569
0.380224|0.895133|0.997561|0.930922
0.898703|0.631628|0.467822|0.558431
0.585422|0.435015|0.338575|0.418418
0.736120|0.642797|0.480112|0.151147
0.438609|0.213767|0.755359|0.791288
0.995155|0.478495|0.173504|0.193949
0.599923|0.748341|0.376910|0.952121
0.913478|0.615446|0.972091|0.453523
0.999888|0.956876|0.792912|0.001961
0.813419|0.130946|0.114499|0.623853
0.685911|0.646792|0.730662|0.276209
0.091646|0.521645|0.242037|0.820019
0.565835|0.803741|0.796744|0.537936
0.927649|0.275881|0.572141|0.403375
0.798334|0.296523|0.582433|0.718460
0.546093|0.086442|0.394902|0.422726
0.688592|0.545832|0.930327|0.301880
0.033479|0.827046|0.464187|0.518561
0.094341|0.035696|0.797892|0.229154
0.939362|0.230123|0.561767|0.952670
0.929897|0.707579|0.296886|0.544052
0.450220|0.927672|0.572575|0.233719
0.976899|0.814045|0.584802|0.304213
0.746765|0.626829|0.799360|0.348693
0.718810|0.136438|0.206570|0.777612
0.940920|0.182578|0.584012|0.527903
0.237504|0.949488|0.710494|0.293152
0.018223|0.767590|0.456395|0.840899
0.926298|0.289944|0.935847|0.697611
0.524355|0.272875|0.533705|0.888646
0.314717|0.649435|0.376571|0.842642
0.271183|0.026953|0.820819|0.034954
0.712169|0.520602|0.347651|0.233295
0.033529|0.288292|0.890220|0.272737
0.956477|0.507820|0.438094|0.789393
0.895682|0.888636|0.530130|0.376487
0.215901|0.372160|0.054758|0.498925
0.792433|0.498783|0.715585|0.164602
0.041371|0.750348|0.504342|0.080056
0.290289|0.430999|0.695984|0.310553
0.283966|0.232005|0.871155|0.485937
0.337845|0.120109|0.435977|0.818512
0.503600|0.770487|0.795172|0.748799
0.010402|0.785394|0.087601|0.688830
0.441277|0.466018|0.573136|0.786165
0.801479|0.639379|0.646931|0.587289
0.162375|0.950842|0.999074|0.802105
0.054600|0.406488|0.686007|0.527399
0.430189|0.214263|0.299207|0.891999
0.178656|0.844680|0.657859|0.950579
0.879017|0.441344|0.803422|0.711818
0.751124|0.472242|0.734054|0.493998
0.761274|0.316522|0.452278|0.129559
0.550517|0.383401|0.727879|0.477551
0.761491|0.719682|0.337399|0.628383
0.276486|0.936635|0.638255|0.788564
0.695956|0.371007|0.833402|0.119467
0.805657|0.963078|0.961337|0.526967
0.750549|0.951821|0.036775|0.874322
0.220086|0.714291|0.946156|0.278342
0.886520|0.594609|0.024730|0.762181
0.808455|0.348963|0.495127|0.888259
0.619868|0.179087|0.388770|0.380328
0.473422|0.864191|0.664417|0.346949
0.151802|0.535463|0.197622|0.934622
0.603837|0.411600|0.961479|0.559430
0.897194|0.657607|0.105420|0.499710
0.367927|0.469121|0.749034|0.163017
0.862448|0.677384|0.865694|0.231754
0.799903|0.101749|0.972760|0.692035
0.970391|0.752402|0.629440|0.639176
0.967784|0.826639|0.649845|0.161971
0.397270|0.824739|0.785752|0.211602
0.256637|0.167861|0.306657|0.226439
0.593305|0.364137|0.387050|0.962206
0.073134|0.585466|0.200735|0.775329
0.744583|0.255925|0.819708|0.164021
0.431257|0.979298|0.753565|0.232379
0.058290|0.263104|0.371025|0.952224
0.935448|0.305603|0.774933|0.414925
0.723852|0.225832|0.375723|0.360650
0.101927|0.974698|0.255667|0.852967
0.857308|0.993332|0.821013|0.946997
0.022034|0.384316|0.198451|0.051738
0.729722|0.479236|0.898269|0.008534
0.213417|0.410727|0.691875|0.017011
0.354015|0.925143|0.627342|0.774890
0.833175|0.483904|0.309146|0.120610
0.487622|0.902159|0.004527|0.868538
0.783056|0.843622|0.209148|0.292653
0.204353|0.358629|0.267824|0.822912
0.234439|0.375039|0.955573|0.963661
0.076757|0.845936|0.388964|0.508838
0.387655|0.833881|0.855248|0.171266
0.799431|0.562226|0.687046|0.747425
0.592194|0.295282|0.610883|0.844607
0.981152|0.648249|0.980135|0.494628
0.818617|0.397881|0.171023|0.364570
0.451786|0.112186|0.679467|0.205175
0.118071|0.589508|0.217709|0.261047
0.052322|0.141672|0.816676|0.125193
0.359136|0.210412|0.391704|0.888806
0.122424|0.100360|0.828133|0.148254
0.076667|0.027638|0.603508|0.804470
0.561376|0.364598|0.997470|0.750626
0.824918|0.281049|0.930280|0.694899
0.500495|0.775820|0.128131|0.386248
0.534670|0.294562|0.038859|0.389894
0.535621|0.339556|0.279971|0.895359
0.208417|0.981080|0.603393|0.928718
0.216886|0.272694|0.597680|0.413236
0.510331|0.292315|0.577927|0.631519
0.420345|0.784330|0.123556|0.105922
0.964865|0.319774|0.904480|0.606626
0.766649|0.213691|0.419545|0.693926
0.042918|0.964409|0.460065|0.191277
0.689455|0.652091|0.926144|0.865834
0.634177|0.821353|0.497838|0.621008
0.950781|0.868128|0.353809|0.146301
0.122173|0.599808|0.825453|0.134250
0.613475|0.022469|0.606756|0.067746
0.246613|0.444175|0.861516|0.170433
0.284000|0.159103|0.015174|0.797969
0.196184|0.126296|0.971966|0.839713
0.000313|0.827581|0.763371|0.619671
0.434599|0.996958|0.597756|0.116301
0.814785|0.205850|0.206616|0.305862
0.596357|0.692090|0.340409|0.374564
0.340034|0.422430|0.452425|0.577279
0.246612|0.880431|0.099959|0.966549
0.959273|0.739498|0.373666|0.936604
0.811585|0.005238|0.536085|0.321627
0.384436|0.267975|0.545757|0.987692
0.593317|0.405847|0.602740|0.098822
0.024012|0.351543|0.587908|0.080390
0.449211|0.318353|0.982444|0.453776
0.015900|0.586158|0.956561|0.867472
0.321135|0.934389|0.384042|0.592393
0.823637|0.305843|0.246445|0.087531
0.010643|0.435271|0.958288|0.614258
0.653826|0.775446|0.707448|0.606592
0.013465|0.235263|0.872133|0.521974
0.361877|0.561027|0.561410|0.335330
0.793944|0.845358|0.844490|0.181081
0.827831|0.804507|0.873457|0.343906
0.371299|0.086034|0.085479|0.510539
0.563177|0.002693|0.016951|0.556346
0.352797|0.351419|0.543953|0.930479
0.619197|0.954333|0.948572|0.613753
0.690233|0.577225|0.758998|0.941179
0.430714|0.393848|0.578122|0.228521
0.057443|0.968476|0.738605|0.559876
0.824565|0.485237|0.325325|0.721876
0.933795|0.399643|0.595262|0.081762
0.493480|0.755929|0.189168|0.707217
0.723611|0.729897|0.201471|0.550729
0.899671|0.750921|0.164161|0.102810
0.878160|0.844924|0.485733|0.646980
0.370448|0.093679|0.194533|0.270519
0.371698|0.236815|0.136148|0.955192
0.676123|0.211840|0.082922|0.888265
0.484089|0.226668|0.144029|0.781367
